County,State,Count,Critical,High,Low,Medium,tooltip
Abbeville,South Carolina,73,0,0,1,72,"County: Abbeville, South Carolina<br>Total Accidents: 73<br>Critical: 0<br>High: 0<br>Medium: 72<br>Low: 1"
Acadia,Louisiana,20,6,4,1,9,"County: Acadia, Louisiana<br>Total Accidents: 20<br>Critical: 6<br>High: 4<br>Medium: 9<br>Low: 1"
Accomack,Virginia,31,4,1,0,26,"County: Accomack, Virginia<br>Total Accidents: 31<br>Critical: 4<br>High: 1<br>Medium: 26<br>Low: 0"
Ada,Idaho,372,2,2,0,368,"County: Ada, Idaho<br>Total Accidents: 372<br>Critical: 2<br>High: 2<br>Medium: 368<br>Low: 0"
Adair,Iowa,23,0,5,0,18,"County: Adair, Iowa<br>Total Accidents: 23<br>Critical: 0<br>High: 5<br>Medium: 18<br>Low: 0"
Adams,Colorado,828,31,334,10,453,"County: Adams, Colorado<br>Total Accidents: 828<br>Critical: 31<br>High: 334<br>Medium: 453<br>Low: 10"
Adams,Idaho,3,1,0,0,2,"County: Adams, Idaho<br>Total Accidents: 3<br>Critical: 1<br>High: 0<br>Medium: 2<br>Low: 0"
Adams,Illinois,3,0,1,0,2,"County: Adams, Illinois<br>Total Accidents: 3<br>Critical: 0<br>High: 1<br>Medium: 2<br>Low: 0"
Adams,Indiana,3,3,0,0,0,"County: Adams, Indiana<br>Total Accidents: 3<br>Critical: 3<br>High: 0<br>Medium: 0<br>Low: 0"
Adams,Iowa,1,0,0,0,1,"County: Adams, Iowa<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Adams,Mississippi,2,1,1,0,0,"County: Adams, Mississippi<br>Total Accidents: 2<br>Critical: 1<br>High: 1<br>Medium: 0<br>Low: 0"
Adams,Nebraska,1,0,0,0,1,"County: Adams, Nebraska<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Adams,North Dakota,1,0,0,0,1,"County: Adams, North Dakota<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Adams,Ohio,3,0,0,0,3,"County: Adams, Ohio<br>Total Accidents: 3<br>Critical: 0<br>High: 0<br>Medium: 3<br>Low: 0"
Adams,Pennsylvania,186,16,0,4,166,"County: Adams, Pennsylvania<br>Total Accidents: 186<br>Critical: 16<br>High: 0<br>Medium: 166<br>Low: 4"
Adams,Washington,7,0,1,0,6,"County: Adams, Washington<br>Total Accidents: 7<br>Critical: 0<br>High: 1<br>Medium: 6<br>Low: 0"
